id,type,title,url,slug,word_count,severity,issues,notes,city,service_stem,kind_title,kind_body,is_city_grid,h1_in_body,h2,h3,heading_skeleton_hash,template_cluster_size,cannibal_group_size,unique_token_ratio,similar_to,similar_hamming,images,images_no_alt,internal_links_in_body,placeholders,rank_seo_score,rank_orphan,rank_incoming_links,rank_internal_links,live_http,live_h1_count,live_h1,meta_description_len,canonical,noindex
12547,post,شركة دهان فلل في الظعاين,https://www.rukn-eltatawer.com/qa/villa-painting-al-daayen/,villa-painting-al-daayen,200,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (200 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `villa-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,villa-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.595,https://www.rukn-eltatawer.com/qa/exterior-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/apartment-painting-al-daayen/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-daayen/,0,0,0,1,,0,True,0,0,,,,,,0
12406,post,عامل دهانات في الريان,https://www.rukn-eltatawer.com/qa/painter-al-rayyan/,painter-al-rayyan,201,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (201 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `painter` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,painter,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.602,https://www.rukn-eltatawer.com/qa/apartment-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/,0,0,0,1,,0,True,0,0,,,,,,0
12418,post,فني جبس بورد في الشمال,https://www.rukn-eltatawer.com/qa/gypsum-tech-al-shamal/,gypsum-tech-al-shamal,201,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (201 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `gypsum-tech` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,gypsum-tech,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.57,https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-shamal/ ; https://www.rukn-eltatawer.com/qa/painter-al-shamal/ ; https://www.rukn-eltatawer.com/qa/villa-painting-al-shamal/,1,0,0,1,,0,True,0,0,,,,,,0
12546,post,شركة دهان فلل في الشمال,https://www.rukn-eltatawer.com/qa/villa-painting-al-shamal/,villa-painting-al-shamal,201,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (201 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `villa-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,villa-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.565,https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-shamal/ ; https://www.rukn-eltatawer.com/qa/painter-al-shamal/ ; https://www.rukn-eltatawer.com/qa/gypsum-tech-al-shamal/,1,0,0,1,,0,True,0,0,,,,,,0
12011,post,شركة تصميم وتنفيذ ديكورات في الظعاين,https://www.rukn-eltatawer.com/qa/decor-design-al-daayen/,decor-design-al-daayen,201,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (201 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `decor-design` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,decor-design,general,leak,1,0,7,0,a6b89d30b159,868,9,0.602,https://www.rukn-eltatawer.com/qa/gypsum-tech-al-daayen/ ; https://www.rukn-eltatawer.com/qa/wall-foam-al-daayen/ ; https://www.rukn-eltatawer.com/qa/wallpaper-al-daayen/,0,0,0,1,,0,True,0,0,,,,,,0
12534,post,شركة دهان شقق في الريان,https://www.rukn-eltatawer.com/qa/apartment-painting-al-rayyan/,apartment-painting-al-rayyan,202,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (202 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `apartment-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,apartment-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.599,https://www.rukn-eltatawer.com/qa/painter-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/,0,0,0,1,,0,True,0,0,,,,,,0
11998,post,شركة دهانات خارجية في الريان,https://www.rukn-eltatawer.com/qa/exterior-painting-al-rayyan/,exterior-painting-al-rayyan,202,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (202 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `exterior-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,exterior-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.604,https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/villa-inspection-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/new-villa-finishing-painting-al-rayyan/,0,0,0,1,,0,True,0,0,200,1,شركة دهانات خارجية في الريان,160,https://www.rukn-eltatawer.com/qa/exterior-painting-al-rayyan/,0
12554,post,شركة دهان واجهات خارجية في الشمال,https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-shamal/,exterior-facade-painting-al-shamal,202,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (202 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `exterior-facade-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,exterior-facade-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.567,https://www.rukn-eltatawer.com/qa/gypsum-tech-al-shamal/ ; https://www.rukn-eltatawer.com/qa/villa-painting-al-shamal/ ; https://www.rukn-eltatawer.com/qa/painter-al-shamal/,1,0,0,1,,0,True,0,0,,,,,,0
12579,post,شركة دهان بويات عالية الجودة في الظعاين,https://www.rukn-eltatawer.com/qa/premium-paint-finishing-al-daayen/,premium-paint-finishing-al-daayen,202,حرجة,critical_thin|template_boilerplate|local_doorway_variant|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (202 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `premium-paint-finishing` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,premium-paint-finishing,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.599,,,0,0,1,,0,True,0,0,,,,,,0
12866,post,Water leak detection in Qatar without breaking,https://www.rukn-eltatawer.com/qa/en/water-leak-detection-qatar-en/,water-leak-detection-qatar-en,202,حرجة,critical_thin|no_h1_in_body,محتوى هزيل جداً (202 كلمة) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,water-leak-detection-qatar-en,leak,leak,0,0,4,0,7126b3f60ed5,1,1,0.569,,,0,0,1,,0,False,1,1,200,1,Water leak detection in Qatar without breaking,135,https://www.rukn-eltatawer.com/qa/en/water-leak-detection-qatar-en/,0
12550,post,شركة دهان واجهات خارجية في الريان,https://www.rukn-eltatawer.com/qa/exterior-facade-painting-al-rayyan/,exterior-facade-painting-al-rayyan,203,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (203 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `exterior-facade-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,exterior-facade-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.601,https://www.rukn-eltatawer.com/qa/apartment-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/painter-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/,2,0,0,1,,0,True,0,0,,,,,,0
12006,post,شركة تصميم وتنفيذ ديكورات في الريان,https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/,decor-design-al-rayyan,203,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (203 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `decor-design` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,decor-design,general,leak,1,0,7,0,a6b89d30b159,868,9,0.606,https://www.rukn-eltatawer.com/qa/exterior-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/villa-inspection-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/new-villa-finishing-painting-al-rayyan/,0,0,0,1,,0,True,0,0,,,,,,0
12578,post,شركة دهان بويات عالية الجودة في الشمال,https://www.rukn-eltatawer.com/qa/premium-paint-finishing-al-shamal/,premium-paint-finishing-al-shamal,203,حرجة,critical_thin|template_boilerplate|local_doorway_variant|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (203 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `premium-paint-finishing` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,premium-paint-finishing,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.569,https://www.rukn-eltatawer.com/qa/brickwork-al-daayen/ ; https://www.rukn-eltatawer.com/qa/marble-granite-al-daayen/ ; https://www.rukn-eltatawer.com/qa/glass-aluminium-partitions-al-daayen/,5,0,0,1,,0,True,0,0,,,,,,0
14608,page,خدمات ركن التطور في الشحانية,https://www.rukn-eltatawer.com/qa/services-in-al-shahaniya-qatar/,services-in-al-shahaniya-qatar,203,حرجة,critical_thin|template_boilerplate|no_h1_in_body,محتوى هزيل جداً (203 كلمة) ؛ نفس الهيكل العناوين في 9 صفحة (hash cf87e50bf32a) ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),,services-in-al-shahaniya,general,leak,0,0,7,0,cf87e50bf32a,9,1,0.644,,,0,0,17,,0,False,95,17,200,1,خدمات ركن التطور في الشحانية,89,https://www.rukn-eltatawer.com/qa/services-in-al-shahaniya-qatar/,0
12590,post,شركة تشطيب ودهان فلل جديدة في الريان,https://www.rukn-eltatawer.com/qa/new-villa-finishing-painting-al-rayyan/,new-villa-finishing-painting-al-rayyan,204,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (204 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `new-villa-finishing-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-rayyan,new-villa-finishing-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.598,https://www.rukn-eltatawer.com/qa/decor-design-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/exterior-painting-al-rayyan/ ; https://www.rukn-eltatawer.com/qa/villa-inspection-al-rayyan/,2,0,0,1,,0,True,0,0,,,,,,0
12018,post,شركة تنسيق حدائق في الشمال,https://www.rukn-eltatawer.com/qa/landscaping-al-shamal/,landscaping-al-shamal,204,حرجة,critical_thin|template_boilerplate|local_doorway_variant|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (204 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `landscaping` على 10 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shamal,landscaping,garden,garden,1,0,7,0,a6b89d30b159,868,10,0.579,https://www.rukn-eltatawer.com/qa/stone-al-shamal/ ; https://www.rukn-eltatawer.com/qa/roof-garden-design-al-shamal/ ; https://www.rukn-eltatawer.com/qa/electrical-fault-detection-al-shamal/,4,0,0,1,,0,True,0,0,,,,,,0
12548,post,شركة دهان فلل في الشحانية,https://www.rukn-eltatawer.com/qa/villa-painting-al-shahaniya/,villa-painting-al-shahaniya,204,حرجة,critical_thin|template_boilerplate|local_doorway_variant|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (204 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `villa-painting` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-shahaniya,villa-painting,paint,leak,1,0,7,0,a6b89d30b159,868,9,0.578,https://www.rukn-eltatawer.com/qa/central-ac-maintenance-al-shahaniya/ ; https://www.rukn-eltatawer.com/qa/elevator-maintenance-al-shahaniya/,4,0,0,1,,0,True,0,0,,,,,,0
11931,post,شركة تركيب عشب صناعي في الظعاين,https://www.rukn-eltatawer.com/qa/artificial-grass-al-daayen/,artificial-grass-al-daayen,204,حرجة,critical_thin|template_boilerplate|local_doorway_variant|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (204 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `artificial-grass` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,artificial-grass,garden,garden,1,0,7,0,a6b89d30b159,868,9,0.611,https://www.rukn-eltatawer.com/qa/water-heater-maintenance-al-daayen/,5,0,0,1,,0,True,0,1,,,,,,0
11939,post,شركة تركيب عشب جداري في الظعاين,https://www.rukn-eltatawer.com/qa/grass-wall-al-daayen/,grass-wall-al-daayen,204,حرجة,critical_thin|template_boilerplate|local_doorway_variant|city_variant_similar|keyword_cannibalization|no_h1_in_body,محتوى هزيل جداً (204 كلمة) ؛ نفس الهيكل العناوين في 868 صفحة (hash a6b89d30b159) ؛ صفحة مدينة×خدمة من مولّد الشبكة — تغطية محلية لكن خطر doorway/تكرار ؛ نفس جذع الخدمة `grass-wall` على 9 URL ؛ لا H1 داخل جسم المقال (قد يعتمد على عنوان القالب),al-daayen,grass-wall,garden,garden,1,0,7,0,a6b89d30b159,868,9,0.606,https://www.rukn-eltatawer.com/qa/modern-irrigation-al-daayen/ ; https://www.rukn-eltatawer.com/qa/indoor-garden-design-al-daayen/,1,0,0,1,,0,True,0,1,,,,,,0
